0.2483	2.8036	0	0	0.2483	2.8036	-0.0008	2.8	-0.0157	0.9999
0.0263879	3.11576	-0.0607085	0.906721	-0.00156616	3.1093	-0.0353	3.1982	-0.1409	0.99
0.23692	3.85382	0.573509	1.6759	0.2533	3.9096	-0.1194	3.589	-0.2639	0.9646
-0.351123	4.31845	-1.5664	1.35108	-0.350302	4.02077	-0.2519	3.9662	-0.3827	0.9239
-0.578375	4.43695	-0.470675	0.16474	-0.5389	4.3615	-0.4305	4.3238	-0.4955	0.8686
-0.689948	4.65682	-0.283188	0.676543	-0.677972	4.65903	-0.6526	4.6562	-0.6004	0.7997
-0.879063	4.83797	-0.490094	0.425275	-0.8861	4.8224	-0.9146	4.9581	-0.6959	0.7181
-1.12803	5.10151	-0.577962	0.427178	-1.16993	5.26631	-1.2124	5.2248	-0.7804	0.6252
-1.27358	5.2352	-0.347614	0.318146	-1.2639	5.2266	-1.5412	5.452	-0.8526	0.5225
-1.62543	5.47687	-0.861433	0.415741	-1.70258	5.63333	-1.896	5.6363	-0.9114	0.4115
-1.97358	5.81645	-0.884349	0.904077	-1.9782	5.8483	-2.271	5.7747	-0.9558	0.294
-2.62691	5.92516	-1.57621	-0.0639607	-2.72101	5.99137	-2.6604	5.8649	-0.9851	0.1719
-3.08689	5.79449	-1.13834	-0.38136	-3.0666	5.7697	-3.0581	5.9057	-0.9989	0.0471
-3.20284	5.80393	-0.260762	0.106576	-3.11819	5.78175	-3.4577	5.8963	-0.9969	-0.0785
-3.69297	5.9131	-1.26247	0.363746	-3.7409	5.9432	-3.853	5.8368	-0.9792	-0.2028
-4.34965	5.8766	-1.39291	-0.524193	-4.52452	6.02261	-4.2377	5.7283	-0.9461	-0.3239
-4.53438	5.53522	-0.426284	-0.966	-4.4846	5.4948	-4.6058	5.5725	-0.898	-0.4399
-5.18461	5.29044	-1.46845	-0.855205	-5.48191	5.48404	-4.9515	5.3717	-0.8358	-0.549
-5.20807	4.99003	-0.0111209	-0.881548	-5.136	4.9637	-5.2693	5.1292	-0.7604	-0.6494
-5.73625	4.85977	-0.835217	-0.800774	-6.23794	5.20097	-5.5541	4.8487	-0.673	-0.7396
-5.94113	4.63033	-0.516682	-0.600661	-5.9278	4.6344	-5.8016	4.5348	-0.575	-0.8181
-5.82846	4.39697	0.192321	-0.47611	-5.65161	4.30881	-6.0078	4.1923	-0.4679	-0.8838
-6.12756	3.87824	-0.723743	-1.18081	-6.1669	3.8633	-6.1694	3.8267	-0.3535	-0.9354
-6.39289	3.31953	-0.194929	-1.65754	-6.62137	3.41183	-6.284	3.4438	-0.2335	-0.9724
-6.25514	3.09325	0.308684	-0.655809	-6.2384	3.1251	-6.3496	3.0494	-0.1097	-0.994
-6.35512	2.51096	-0.613327	-1.36808	-6.22554	2.38457	-6.3653	2.65	0.0157	-0.9999
-6.37043	2.36771	-0.046216	-0.419053	-6.3475	2.3975	-6.3308	2.2518	0.1409	-0.99
-6.25256	1.75039	0.541507	-1.70254	-6.27012	1.70155	-6.2467	1.861	0.2639	-0.9646
-6.38329	1.2228	-0.451786	-1.28892	-6.4506	1.248	-6.1142	1.4838	0.3827	-0.9239
-6.06058	1.0589	0.671423	-0.3208	-5.74912	1.04375	-5.9355	1.1262	0.4954	-0.8686
-5.63267	0.767454	1.12699	-0.707288	-5.6014	0.7532	-5.7135	0.7939	0.6004	-0.7997
-5.22061	0.485592	1.11055	-0.712665	-5.28038	0.490327	-5.4515	0.4919	0.6959	-0.7181
-4.97232	0.22142	0.553773	-0.660082	-5.0096	0.2247	-5.1537	0.2252	0.7804	-0.6253
-4.67182	0.0526355	1.1998	-0.400633	-4.86294	0.0593666	-4.8249	-0.002	0.8526	-0.5225
-4.44679	-0.167628	0.475341	-0.57332	-4.4954	-0.1748	-4.4701	-0.1863	0.9114	-0.4115
-4.30738	-0.273142	0.916162	-0.187999	-4.61776	-0.284316	-4.0951	-0.3247	0.9558	-0.2941
-3.7449	-0.508557	1.46919	-0.634841	-3.7094	-0.5249	-3.7057	-0.4149	0.9851	-0.172
-3.3581	-0.59258	1.09275	-0.142405	-3.4975	-0.597102	-3.308	-0.4557	0.9989	-0.0471
-2.84627	-0.346843	1.2946	0.784289	-2.8274	-0.3048	-2.9084	-0.4463	0.9969	0.0784
-2.40279	-0.415125	1.02713	-0.23151	-2.3627	-0.433828	-2.5131	-0.3868	0.9792	0.2028
-1.99614	-0.527176	1.01567	-0.294994	-1.9969	-0.53	-2.1284	-0.2783	0.9461	0.3239
-1.87027	-0.231116	0.628729	0.9508	-2.04506	-0.199806	-1.7603	-0.1225	0.898	0.4399
-1.35703	0.33764	1.35415	1.53246	-1.3064	0.3716	-1.4146	0.0783	0.8358	0.549
-1.51275	0.648332	-0.714459	0.953899	-1.35658	0.386264	-1.0968	0.3208	0.7604	0.6494
-1.05637	0.490835	1.45695	-0.507607	-0.9236	0.3836	-0.8119	0.6013	0.673	0.7396
-0.790386	0.773638	-0.152267	1.24803	-0.446756	0.693328	-0.5645	0.9152	0.575	0.8181
-0.235565	1.29372	1.7233	1.51297	-0.1225	1.291	-0.3583	1.2577	0.468	0.8837
-0.207126	1.8777	-0.0643573	1.3742	-0.168369	1.73384	-0.1967	1.6233	0.3535	0.9354
-0.0653367	1.94593	0.532231	-0.0146989	-0.0448	1.8582	-0.0821	2.0062	0.2335	0.9724
-0.0291895	2.28569	0.0623255	0.833305	-0.0728801	2.44461	-0.0165	2.4006	0.1098	0.994
0.0966912	2.93634	0.393562	1.73099	0.1133	2.9969	-0.0008	2.8	-0.0157	0.9999
0.00102904	3.24116	-0.260473	0.919109	0.0127198	2.96057	0.0212	3.1991	0.1098	0.994
-0.0929296	3.8353	-0.229226	1.56196	-0.0904	3.8783	0.093	3.5924	0.2335	0.9724
0.254479	4.16247	0.928632	0.979026	0.243348	3.90753	0.2135	3.9735	0.3535	0.9354
0.605182	4.38215	0.872796	0.491198	0.6036	4.3496	0.3809	4.3365	0.468	0.8837
0.516377	4.75685	-0.221973	1.31332	0.44525	4.59026	0.5924	4.6757	0.575	0.8181
0.530247	5.16187	0.0540248	0.977729	0.5393	5.1416	0.8448	4.9857	0.673	0.7396
1.00059	5.4867	1.29112	1.20687	1.01158	5.24301	1.134	5.2616	0.7604	0.6494
1.41488	5.69328	1.02229	0.420888	1.4027	5.6401	1.4556	5.4991	0.8358	0.549
1.89186	5.88354	1.13405	0.256943	1.9447	6.00895	1.8044	5.6944	0.898	0.4399
2.08852	6.10743	0.504009	0.563282	2.0674	6.1208	2.1749	5.8445	0.9461	0.3239
3.00614	6.20661	2.45281	0.304409	3.12361	6.11141	2.5613	5.947	0.9792	0.2028
3.00514	5.82112	-0.0213033	-1.25465	2.8955	5.696	2.9574	6.0002	0.9969	0.0784
3.22304	5.95465	0.625034	0.518684	3.29635	6.15782	3.3572	6.0033	0.9989	-0.0471
3.61953	6.09093	0.990278	0.347968	3.6329	6.086	3.7541	5.9563	0.9851	-0.172
